Node_Type,Count
<node_value> > <value>,5
wait until <node_value>,2
set <node_value> effect to <node_variable>,2
<node_variable> = <node_variable>,14
<node_variable> > <value>,3
for each <node_variable> in <node_list>,2
<node_variable> + <value>,4
<node_value> + <node_value>,16
<node_value> * <node_value>,14
item # of <node_value>,2
item # of <value> in <node_list>,2
say <value> for <value> seconds,134
say <node_value>,2
switch backdrop to <node_value>,20
start sound <node_value>,24
touching <node>,2
set rotation style <node_value>,4
"if on edge, bounce",3
move <value> steps,31
define <values>,23
